1000 3
4.511354204823554058e-05 -1.790206122364113028e+01 -4.511354204823555413e-05
5.269127853287429669e-05 -1.802284364359601199e+01 -5.269127853287429669e-05
6.131823745299515792e-05 -1.813609725644404591e+01 -6.131823745299515792e-05
7.110899922411296819e-05 -1.824199552527060320e+01 -7.110899922411296819e-05
8.218723613968117764e-05 -1.834070851791270584e+01 -8.218723613968117764e-05
9.468613690103710469e-05 -1.843240303535677782e+01 -9.468613690103710469e-05
1.087488318015858446e-04 -1.851724273228100870e+01 -1.087488318015858446e-04
1.245288175352812505e-04 -1.859538823015709852e+01 -1.245288175352812505e-04
1.421903805890993989e-04 -1.866699722330846711e+01 -1.421903805890994260e-04
1.619090181718334340e-04 -1.873222457830558696e+01 -1.619090181718334340e-04
1.838718556271093678e-04 -1.879122242706302615e+01 -1.838718556271093678e-04
2.082780592769677749e-04 -1.884414025398706016e+01 -2.082780592769677749e-04
2.353392436435993460e-04 -1.889112497750777209e+01 -2.353392436435993460e-04
2.652798720007996849e-04 -1.893232102631522906e+01 -2.652798720007996849e-04
2.983376492133125307e-04 -1.896787041060470003e+01 -2.983376492133124765e-04
3.347639058314379277e-04 -1.899791278862393185e+01 -3.347639058314379277e-04
3.748239724198899848e-04 -1.902258552879930775e+01 -3.748239724198899848e-04
4.187975431139814636e-04 -1.904202376770993865e+01 -4.187975431139814636e-04
4.669790274124691206e-04 -1.905636046416071494e+01 -4.669790274124691206e-04
5.196778892349881258e-04 -1.906572644960003515e+01 -5.196778892349881258e-04
5.772189722925261156e-04 -1.907025047510995819e+01 -5.772189722925261156e-04
6.399428108420980067e-04 -1.907005925519266043e+01 -6.399428108420978983e-04
7.082059249211667285e-04 -1.906527750855934045e+01 -7.082059249211667285e-04
7.823810991837841945e-04 -1.905602799612496057e+01 -7.823810991837841945e-04
8.628576444882644827e-04 -1.904243155639539609e+01 -8.628576444882644827e-04
9.500416414159395606e-04 -1.902460713843093032e+01 -9.500416414159394522e-04
1.044356164931440657e-03 -1.900267183255475700e+01 -1.044356164931440657e-03
1.146241489427550020e-03 -1.897674089897214245e+01 -1.146241489427550020e-03
1.256155273431277522e-03 -1.894692779445314912e+01 -1.256155273431277739e-03
1.374572723282798357e-03 -1.891334419722656790e+01 -1.374572723282798357e-03
1.501986735134838713e-03 -1.887610003022373917e+01 -1.501986735134838930e-03
1.638908014657094667e-03 -1.883530348280408262e+01 -1.638908014657094667e-03
1.785865173868103053e-03 -1.879106103108678383e+01 -1.785865173868103053e-03
1.943404804555641865e-03 -1.874347745700640289e+01 -1.943404804555641865e-03
2.112091527786067856e-03 -1.869265586620372233e+01 -2.112091527786067856e-03
2.292508019042929085e-03 -1.863869770485659672e+01 -2.292508019042929085e-03
2.485255008575638479e-03 -1.858170277554992822e+01 -2.485255008575638479e-03
2.690951256579843763e-03 -1.852176925227779591e+01 -2.690951256579843763e-03
2.910233502872330933e-03 -1.845899369466548023e+01 -2.910233502872330933e-03
3.143756390764740165e-03 -1.839347106149371669e+01 -3.143756390764740165e-03
3.392192364881896436e-03 -1.832529472360243261e+01 -3.392192364881896002e-03
3.656231542712374410e-03 -1.825455647624653466e+01 -3.656231542712374410e-03
3.936581559720452039e-03 -1.818134655097146180e+01 -3.936581559720452039e-03
4.233967387890288404e-03 -1.810575362707195168e+01 -4.233967387890289272e-03
4.549131127614596502e-03 -1.802786484269321221e+01 -4.549131127614596502e-03
4.882831772881335124e-03 -1.794776580562952972e+01 -4.882831772881335124e-03
5.235844949752860474e-03 -1.786554060387169685e+01 -5.235844949752860474e-03
5.608962628172595860e-03 -1.778127181595074546e+01 -5.608962628172594993e-03
6.002992807174477828e-03 -1.769504052112208470e+01 -6.002992807174476093e-03
6.418759173610063401e-03 -1.760692630943086812e+01 -6.418759173610063401e-03
6.857100734547452031e-03 -1.751700729169598247e+01 -6.857100734547452031e-03
7.318871423534627739e-03 -1.742536010944729341e+01 -7.318871423534627739e-03
7.804939680957879815e-03 -1.733205994484777079e+01 -7.804939680957878947e-03
8.316188008763058387e-03 -1.723718053062934885e+01 -8.316188008763058387e-03
8.853512499844064590e-03 -1.714079416006887158e+01 -8.853512499844064590e-03
9.417822342438474451e-03 -1.704297169702791237e+01 -9.417822342438474451e-03
1.001003929990530381e-02 -1.694378258607802223e+01 -1.001003929990530381e-02
1.063109716629368623e-02 -1.684329486273062315e+01 -1.063109716629368449e-02
1.128194119814448886e-02 -1.674157516378875599e+01 -1.128194119814449232e-02
1.196352752299902240e-02 -1.663868873783586366e+01 -1.196352752299902240e-02
1.267682252511998994e-02 -1.653469945587498913e+01 -1.267682252511998994e-02
1.342280220896033965e-02 -1.642966982212984206e+01 -1.342280220896033965e-02
1.420245154094441388e-02 -1.632366098501770324e+01 -1.420245154094441388e-02
1.501676377015417375e-02 -1.621673274830248346e+01 -1.501676377015417202e-02
1.586673972854012182e-02 -1.610894358243471203e+01 -1.586673972854012182e-02
1.675338711130250346e-02 -1.600035063608397579e+01 -1.675338711130250346e-02
1.767771973811300967e-02 -1.589100974786791554e+01 -1.767771973811300967e-02
1.864075679587108569e-02 -1.578097545828079795e+01 -1.864075679587108569e-02
1.964352206371114754e-02 -1.567030102182332030e+01 -1.964352206371114754e-02
2.068704312099859180e-02 -1.555903841933452014e+01 -2.068704312099859180e-02
2.177235053907236942e-02 -1.544723837052547388e+01 -2.177235053907236942e-02
2.290047705751133145e-02 -1.533495034671360813e+01 -2.290047705751133145e-02
2.407245674571840965e-02 -1.522222258375557224e+01 -2.407245674571840965e-02
2.528932415063460740e-02 -1.510910209517592939e+01 -2.528932415063460740e-02
2.655211343140903568e-02 -1.499563468548801204e+01 -2.655211343140903568e-02
2.786185748186598143e-02 -1.488186496370281908e+01 -2.786185748186598143e-02
2.921958704162296028e-02 -1.476783635702103759e+01 -2.921958704162295681e-02
3.062632979672535657e-02 -1.465359112470278902e+01 -3.062632979672536351e-02
3.208310947067429669e-02 -1.453917037210929486e+01 -3.208310947067429669e-02
3.359094490673321387e-02 -1.442461406490989972e+01 -3.359094490673321387e-02
3.515084914240763220e-02 -1.430996104344780839e+01 -3.515084914240763220e-02
3.676382847699925099e-02 -1.419524903725729637e+01 -3.676382847699925099e-02
3.843088153314157263e-02 -1.408051467972484261e+01 -3.843088153314156569e-02
4.015299831322934748e-02 -1.396579352288646980e+01 -4.015299831322934748e-02
